"casn" "cacont" "kl1" "kl2" "xh1" "xh2"
2.9087 0.22777 19.109 -45.617 1549.3 823.43
6.8737 0.2047 -0.64885 -0.14577 2022.8 1042.3
10.008 0.18873 -0.67102 -0.31822 2030.3 1018
7.0448 0.23994 -2.0722 0.53956 1698 929.16
4.9177 0.34111 -1.52 -0.11181 1888.7 873.44
5.7304 0.15483 -0.61704 -0.14362 2006 937.56
5.1937 0.33444 -1.4829 -0.40435 1617 854.1
5.0838 0.4971 -1.0697 -0.34495 1987.8 986.8
7.5266 0.26207 -0.82125 -0.11032 1990.3 1012
0.56308 0.105 -2.5217 -1.037 1715 843.25
9.1925 0.34884 -3.7896 0.41311 1486.8 885.08
7.3447 0.17742 -0.35266 -0.2092 2040.9 1045.3
5.9851 0.07357 0.38268 -1.266 1918.3 1079.9
8.71 0.16498 0.017231 -0.61584 1702 964.28
4.4549 0.11677 1.2044 -0.28047 2202 1054
10.53 0.1544 0.37822 -0.48086 2139.2 1107.2
5.3829 0.23048 -3.0324 -0.01406 1655.9 899.72
5.8691 0.33907 -1.1715 -1.4771 1720.1 847.01
5.02 0.98021 -4.3725 -0.98257 1372.3 763.95
7.4722 0.26144 -1.1065 0.018131 1920.5 910.07
3.9295 0.1873 -0.61611 -0.78752 2089.1 987.12
1.8501 0.17255 -0.42575 -0.99551 1736.8 1011.2
9.7513 0.25973 -1.8876 -0.043825 1825.6 962.48
3.0858 0.80808 -4.8203 -0.10037 1287.4 774.84
11.203 0.19911 -0.73919 -0.28438 2013.5 917.76
2.2956 0.48262 -3.7245 -0.10843 1397.1 857.59
7.8977 0.099313 0.11471 -0.26522 2101.5 1095.1
9.9687 0.22886 -0.52113 -0.7519 1923 936.45
6.4297 0.22004 -1.4753 -0.55268 1907.6 886.4
3.7832 0.49765 -1.1426 0.017819 1951.2 978.48
4.5747 0.20577 -0.55501 -0.20137 2026.6 1030.8
2.6902 0.73791 -5.9705 0.13732 1259.2 757.72
6.5389 0.40793 -4.542 0.029114 1407.1 793.62
8.8611 0.29301 -1.423 -0.075981 1912.9 986.82
11.507 0.16889 -0.95634 -0.18896 1976.6 1005.7
10.704 0.27552 -1.9228 -0.18158 1832.8 950
4.6858 1.1038 -4.9327 -0.62472 1313.5 673.76
1.8977 0.32465 -4.0695 0.76121 1411.4 797.27
17.286 0.28747 -2.7525 -0.097863 1675.1 931.56
6.8895 0.28086 -1.3706 -0.28274 1898.2 898.8
2.6217 0.38488 -4.0704 -0.034821 1452.4 798.29
10.849 0.16338 1.1856 0.26014 2143 1066.1
3.697 0.7007 -4.7366 -0.56196 1308.6 733.59
3.6639 0.49459 -3.1191 -0.27587 1484.2 811.25
3.3118 0.42654 -2.417 -0.95671 1396.7 852.83
11.945 0.19473 -3.0799 -0.16741 1636.3 881.77
2.2512 0.24521 0.052058 0.032995 2116.6 1075.5
9.2954 0.23694 -1.076 -0.27637 1941.7 1035.4
4.9958 0.28148 -0.8675 -0.25653 2008.3 997.72
1.7959 0.20178 -2.1566 -0.80757 1581.2 898.71
13.929 0.19029 -0.39914 -0.37411 2057.3 1059.1
9.392 0.14293 0.85109 -0.42335 2200.1 1148.2
1.1795 0.2521 -5.0173 0.17583 1315.7 836.67
6.6035 0.13288 0.45733 0.087028 2107.2 1145.9
4.1562 0.18505 -0.70341 -0.34727 2028.3 1005.3
6.4817 0.2938 -1.7892 -0.14253 1845.1 897.4
5.9821 0.74598 -3.1885 -0.35217 1756.2 837.41
6.3518 0.27292 -1.8826 -0.11943 1837.7 866.11
3.0664 0.31399 -0.056919 -0.5567 2085.4 1017.3
2.6247 0.24312 -1.0376 -0.079574 1879.7 959.13
7.4118 0.09682 0.52592 -0.33332 2145.7 1136.5
1.361 0.07186 0.96094 -2.0531 2436.2 1064.7
4.1344 0.13998 0.14082 -0.51563 2129.5 951.63
10.12 0.15416 -0.47061 -0.27584 2008.9 963.96
10.545 0.20395 -1.3325 0.042713 1882.7 921.87
11.039 0.18382 -1.219 -0.1188 1917 1020.1
4.9981 0.50614 -3.4398 -0.4703 1367.8 820.8
2.12 0.16627 0.97146 -0.51743 2260.2 1141.4
11.041 0.27276 -1.1663 0.032332 1916.6 913.14
9.5045 0.3 -0.5138 -0.2053 2017.6 924.66
7.7869 0.25931 -1.6197 -0.45123 1777.1 955.58
7.5642 0.23301 -0.82135 0.11291 1922.5 968.66
2.8767 0.65105 -3.0939 -1.2907 1601.8 788.48
4.6955 0.34972 -3.6762 -0.2985 1572 848.11
8.303 0.14108 -1.9442 -0.36638 1816.8 885.95
3.1081 0.54118 -3.5157 -0.41517 1639.6 806.42
1.9244 0.11405 -0.97694 -0.29423 1989.9 888.07
0.67208 0.064329 1.5592 -1.6578 2375.5 1033.2
6.4179 0.23417 -1.5278 -0.089172 1924.9 966.21
2.6709 0.12394 -0.55558 -0.2483 2034.9 1022.6
8.1812 0.37299 -3.5331 0.073604 1534.6 854.08
1.7186 0.33114 -5.9838 -0.025238 1240.8 748.82
7.1619 0.1068 -0.51613 -0.46602 2011.8 963.38
5.4794 0.43616 -2.3946 -0.59611 1519.8 842.55
6.686 0.20986 0.47773 -0.37899 2126 990.09
7.9229 0.20527 -0.15751 -0.37048 2101.9 1045.2
7.9408 0.20665 -0.16747 -0.13757 2042.3 1082.6
10.272 0.15724 0.52367 -0.39224 2117.2 997.33
3.7456 0.19402 -2.1448 -0.18765 1827.9 878.46
9.1871 0.33411 -2.1876 0.059881 1760 954.51
3.0295 0.30488 -1.9493 -0.27838 1893.7 968.99
10.143 0.27172 -1.5419 -0.31636 1929.9 961.16
10.56 0.29134 -2.5698 0.11487 1692.7 926.66
6.9416 0.32205 -2.1655 0.39216 1725.2 921.09
3.3371 0.34662 -2.4168 -0.39723 1654.4 892.09
2.623 0.36747 -1.5783 -0.11954 1903.8 826.41
11.229 0.20047 -0.75398 -0.48659 2026.5 1015.8
5.2987 0.43388 -4.583 0.082028 1387.6 829.48
13.717 0.24572 -1.9197 0.16031 1773.9 926.52
5.6975 0.42128 -3.813 -0.15372 1535 846.77
14.131 0.25721 -1.9567 0.0024118 1811.6 980.71
3.5796 0.90923 -5.2694 -0.062 1361.4 809.27
6.2448 0.2286 -0.2026 0.00048135 2063.7 1064.2
13.014 0.20194 -3.189 -0.34889 1601.4 875.16
1.2694 0.14804 -2.1418 -0.93249 1868.3 843.35
4.2132 0.51006 -1.6246 -0.067334 1867.8 869.21
3.0971 0.59261 -4.5824 0.20593 1462 850.97
9.3448 0.29562 -1.7509 0.22438 1817.2 992.72
3.2827 0.26065 -1.4176 -0.51407 1915.9 844.74
7.3276 0.29303 -3.8314 -0.12156 1514.2 863.76
4.2473 0.4644 -4.8755 -0.11797 1376.9 774.29
3.5132 0.16 -0.77081 -0.049046 1996.2 921.32
4.7807 0.34121 -3.327 -0.34956 1610.4 791.76
13.813 0.22802 -3.472 0.17404 1525.5 906.89
1.0307 0.23319 -4.5827 -0.19728 1433.2 670.17
1.4815 0.17153 -1.5883 0.14074 1910 986.44
5.46 0.7469 -4.2902 -0.15207 1429.7 826.38
6.9484 0.16115 -0.16744 0.11761 2046.2 1078
9.7979 0.31818 -1.6623 -0.27297 1878.3 880.05
13.626 0.25641 -1.8833 -0.20827 1812.9 899.89
4.1325 0.1689 0.16165 -0.30089 2126.5 1070.7
4.9697 0.32178 -1.3177 -0.1193 1920.4 979.93
2.5628 0.41189 -3.1923 -0.76778 1613 820.53
2.9987 0.49752 -1.4413 -2.4834 1406.8 827.99
2.581 0.2494 -2.683 -0.60693 1688.7 871.98
1.0848 0.11223 -1.1642 -0.2967 1978 978.78
4.4335 0.45052 0.23029 -0.29585 2171.9 1042.5
5.2248 0.56731 -4.6221 -0.051684 1416.7 803.32
2.4007 0.23116 -2.1977 0.18794 1694.3 899.62
6.0133 0.21986 -0.85997 -0.26128 1999.4 1016
8.7031 0.15139 0.10573 -0.09969 2059.1 1002
6.5023 0.38629 -1.0335 0.035534 1951.3 881.19
1.9485 0.29833 -4.2763 -0.00054615 1464.8 828.07
10.529 0.32523 -3.3037 0.09309 1562.4 836.11
5.1549 0.20825 -1.8445 -0.32467 1862.7 873.04
4.6852 0.42038 -4.4376 -0.36916 1449.6 803.31
3.177 0.21549 -1.7269 -0.38309 1879.8 948.84
9.7863 0.27599 -0.52718 -0.21134 2030.7 1043.1
1.285 0.19884 -5.2065 -0.3703 1372.5 674.97
11.561 0.26413 -1.7648 -0.13855 1833.3 897.03
5.5592 0.19467 -0.32638 0.095757 2005.8 985.39
2.6346 0.1974 -0.61329 -0.28468 2021.3 928.4
11.819 0.34815 -2.5614 -0.28812 1441.7 850.3
8.3228 0.33053 -2.7282 -0.069373 1680 855.55
5.5071 0.19358 0.19269 0.01585 1945.8 1119
7.1952 0.22177 -0.71374 -0.12633 1937.7 961.45
6.8975 0.11543 -0.049732 -0.21367 1924 1002.1
3.6404 0.31035 -1.5716 -0.27564 1935.7 971.46
4.3107 0.3202 -1.5648 -0.63758 1782 860.76
6.7924 0.15692 -0.32128 -0.27831 2063.9 1035.1
5.3321 0.36822 -4.5739 -0.29036 1404.2 771.11
3.236 0.23788 -2.05 -0.15364 1621.9 958.18
7.3607 0.10413 0.64171 0.12347 2113.1 1010.1
10.652 0.18235 -0.32212 -0.68961 1851.2 944.35
3.9744 0.14271 0.12593 -0.55498 2175.3 1056
11.58 0.20091 -0.3787 -0.15661 2028.1 1061.9
5.0428 0.41573 -1.9634 -0.1511 1807 854.44
3.464 0.58891 -4.2951 -0.61986 1437.6 750.94
4.7479 0.33615 -1.6529 -0.47717 1951.8 933.58
12.342 0.26536 -0.903 0.01205 1944.2 940.19
8.893 0.13125 0.031918 0.59176 2046.1 1145.5
9.8482 0.21245 -0.42788 -0.27602 2029.2 935.21
4.5748 0.085477 1.1622 -0.55946 2258.9 1166
2.6611 0.31108 -1.8505 -0.39934 1865.5 852.71
3.4242 0.50454 -3.8249 -0.20188 1506.8 782.62
7.8945 0.2089 0.66455 -0.032448 2112.6 1037.4
3.6635 0.20134 -0.43874 -0.43953 2095.5 1017.1
12.584 0.19015 -1.1245 -0.23056 1958.1 1016
4.5731 0.29807 -4.6321 -0.22686 1405.3 796.35
1.1906 0.15783 -2.1426 -0.76107 1836.3 868.4
8.549 0.29232 -2.062 -0.056062 1795.8 958.23
2.8606 0.29297 -4.4778 0.18223 1375 833.43
1.3888 0.19243 -0.86334 -0.37689 1918.3 887.3
4.7245 0.29462 -2.0898 -0.27118 1854.4 913.38
3.0298 0.49358 -5.6758 -0.15067 1268.7 725.34
9.466 0.30133 -0.9376 -0.38404 2009.6 1006.1
4.9068 0.55016 -4.7018 -0.39204 1390.8 764.02
1.9423 0.31083 -3.8335 -0.06645 1444 866.85
13.403 0.22662 -3.3027 0.49476 1527.6 932.24
3.4695 0.38063 -1.9947 -0.62776 1907.8 923.52
1.282 0.22865 14.746 -25.702 1526.4 302.73
8.0453 0.2064 -1.205 0.17012 1912.5 1032.2
10.407 0.16877 -0.61947 -0.15075 2008.1 1046.3
2.3426 0.34677 -4.6342 -0.38656 1403.3 769.77
4.6674 0.27124 -0.5662 -0.54121 1500.6 991.46
4.8768 0.36424 0.932 1.2662 2051.1 1092.8
6.4009 0.39149 -3.007 0.28814 1600.6 849.5
2.6051 0.30048 -1.7173 -0.27645 1895.3 948.83
1.8254 0.30015 -2.909 -0.40788 1610.7 808
2.5989 0.51061 -4.2947 -0.72845 1348.7 772.68
4.6 0.69442 -2.9008 0.063911 1620.3 845.74
13.983 0.23036 -2.8348 0.035572 1675.1 922.25
9.7888 0.18325 -0.11096 -0.21425 2102.6 1077
4.7456 0.35294 -1.2263 -0.19334 1908 923.11
6.566 0.22524 -0.17283 -0.20951 2057 946.56
2.8997 0.37748 -2.5255 0.55555 1677.3 911.44
4.2017 0.37747 -1.1647 -1.3322 1515.4 957.15
3.9072 0.48803 -1.4239 -1.014 1706 854.33
7.2813 0.17214 -3.6045 0.20498 1513.7 822.67
12.335 0.26381 -3.1401 -0.12741 1638.4 888.6
2.5582 0.3412 -0.82552 -0.49292 1873.9 981.79
1.5183 0.27606 -3.7309 -0.0089855 1483.1 807.73
0.59087 0.080037 -0.65754 -0.18355 1995.3 914.56
3.0519 0.47159 -4.2853 -0.52372 1438.7 796.06
4.9537 0.33664 -3.3213 -0.24735 1634.8 865.82
1.9006 0.24923 -1.94 -0.42699 1868.9 955.38
8.2913 0.11616 -1.277 -0.42182 1962.6 1011.2
5.2249 0.37303 -3.1776 -0.1707 1601.1 813.21
1.9272 0.25298 -2.7787 -0.091865 1596.5 815.43
4.8627 0.34281 -4.7647 0.35878 1352.7 795.51
9.2625 0.18452 -0.74905 0.013136 1975.5 1074.3
4.5275 0.72957 -2.8112 -0.53385 1637.3 797.37
10.558 0.14495 1.2681 1.2437 2143.6 1292.7
5.9501 0.18231 -0.24584 -0.034294 2035.5 951.52
10.811 0.22502 -1.4506 -0.36845 1929.6 969.94
6.9143 0.24011 -3.0286 -0.16856 1651.5 884.98
3.1484 0.6903 38.13 -90.013 1314.3 781.94
7.4574 0.22479 -0.87346 0.093208 1978.8 1032.4
9.1419 0.34036 -2.9254 -0.093307 1635.4 909.54
4.9465 0.34751 -2.6337 -0.0083707 1701.4 841.39
14.741 0.2728 -1.7243 -0.37986 1864.7 959.5
3.3876 0.3398 -2.4663 -0.33055 1718.2 911.45
2.1067 0.36322 -3.4657 -0.46544 1534.1 777.55
8.2033 0.28234 -2.2819 -0.21372 1791.3 852.69
12.55 0.22665 -1.7565 -0.073288 1832 992.85
4.1485 0.24644 -2.1356 -0.028394 1484.3 871.93
1.7156 0.2722 -4.923 0.46909 1290 767.23
2.9844 0.21033 -0.90768 -0.25641 2023 1007.6
14.713 0.23555 -2.6125 0.060668 1706.5 930.1
4.6683 0.26537 -0.34669 0.20802 2037.2 1064.3
4.025 0.19845 0.65189 0.17274 2117 989.75
5.0749 0.42029 -4.1399 0.018818 1435.2 836.78
1.2132 0.15948 0.54444 -0.1004 2210 1192.6
8.6015 0.12661 0.26871 -0.34637 2109.7 1118.7
5.2555 0.20951 2.9441 -5.8652 1959.7 1060
5.8183 0.28663 -0.9709 0.025598 1953.3 918.65
4.0005 0.15207 0.92867 -0.25996 2144.8 1024.7
2.1776 0.16008 0.12736 0.013532 2091.9 1066.3
10.855 0.21562 -1.1354 -0.31728 1967.6 991.38
8.3489 0.24155 -0.66414 0.003715 1986.5 935.37
9.2424 0.11711 -0.89268 -0.5176 1820.4 1029.9
11.337 0.15334 -0.43589 -0.042632 2007.5 1094.8
4.153 0.45061 -4.485 -0.60268 1235.6 770.2
3.5991 0.47756 -1.1835 -0.25321 1941 882.2
8.381 0.20517 -0.20953 -0.70995 2119.5 1033.9
6.5517 0.18968 -0.13619 -0.39527 2120 1046.9
11.034 0.19709 -1.9806 -0.1203 1833 966.65
2.5382 0.43064 -2.8504 -0.36572 1734.9 893.63
10.802 0.18817 -0.12876 -0.42938 2075.3 1066.4
7.7531 0.40812 -2.8987 -0.20997 1659 840.21
1.7066 0.31996 -3.4771 -0.3024 1620.9 870.57
10.998 0.25094 -0.1621 -0.19485 2027.2 970.12
12.09 0.22863 -1.8794 0.19945 1796.1 1001.5
6.4959 0.21677 -1.6838 0.11868 1833.1 879.15
3.2837 0.45902 -3.0438 0.2007 1549.3 832.82
1.815 0.38559 -3.7251 -1.037 1518.1 739.53
4.057 0.38525 -4.1737 -0.11898 1458.7 837
3.4071 0.19141 -0.40943 -0.35795 2046.4 917.38
5.5659 0.32752 -2.6413 -0.43137 1764.2 893.02
10.358 0.40157 -3.2503 0.1247 1596.1 898.13
2.166 0.2037 -0.66799 0.25489 1998.4 1054.6
4.4625 0.38019 -0.80805 -3.5318 1593.8 837.83
5.0891 0.39478 -1.2247 0.25562 1920.4 974.6
10.026 0.16213 0.0028619 -0.38722 2082.1 1095.4
3.9823 0.26105 -2.9231 -0.40314 1649.2 795.61
7.0238 0.27312 -1.1843 -0.050428 1929.9 1005.2
9.4007 0.1979 0.11829 0.15332 2064.4 1110.7
3.9246 0.41449 -2.5125 -0.64529 1858.8 899.28
7.3696 0.30731 -1.2958 0.16261 1917.3 1007.3
0.58862 0.06148 -1.0635 -0.18385 1945.4 956.24
3.5851 0.30895 -3.0207 -1.1586 1657.7 846.07
9.9227 0.34907 -3.4043 0.32981 1576.1 888.46
3.7932 0.33789 -0.33372 0.044403 2045.5 1047.6
1.8583 0.14472 3.3869 -1.33 2112.7 1328.8
4.8551 0.26463 -2.035 0.1804 1765 923.09
1.0077 0.21788 -4.7694 -1.1135 1552.4 690.98
3.2135 0.31814 -2.9072 -0.1473 1711.3 809.41
14.479 0.28 -2.5615 -0.078803 1717.3 922.64
9.2625 0.30072 -2.4808 -0.25334 1759.3 922.29
4.7408 0.24306 -1.2656 -0.15467 1943 968.42
4.153 0.24357 -0.38477 -0.26236 2054.8 926.2
3.8944 0.20225 -1.5414 -0.27608 1914.3 966.15
10.742 0.31643 -1.5387 -0.24797 1914 964.57
6.0956 0.31914 -3.4181 0.30363 1541.9 902.41
2.4208 0.42414 -4.9647 -0.063335 1290.7 743.87
5.7636 0.35582 -4.1002 0.38001 1449 881.41
8.496 0.33535 -1.4589 -0.53618 1937.2 950.33
3.3696 0.34799 -4.1068 -0.36912 1489.8 821.4
2.7411 0.42494 -4.9926 -0.46536 1343.2 746.15
6.1154 0.089894 0.9408 -0.77945 2192.9 1013.8
13.632 0.29067 -2.7839 -0.018594 1671.9 908.83
3.1353 0.20618 -0.82251 -0.37146 2026.2 894.61
6.0425 0.30455 -2.3178 -0.19251 1784.1 844.7
7.7303 0.18977 -0.88144 0.026088 1959 1036.4
8.3245 0.18166 -1.43 0.062052 1884 1005.4
1.7226 0.23154 -1.5441 -0.14131 1956.3 920.28
7.6739 0.2976 -2.6466 -0.13036 1719.9 830.28
4.5757 0.18728 -1.673 -0.22888 1896.8 958.77
5.7188 0.26022 -2.1632 -0.054937 1779 866.64
9.6701 0.29919 -2.2042 -0.1764 1809.6 938.39
5.1 0.22329 -1.3514 0.28028 1895.1 990
9.7071 0.17243 -1.3298 0.1112 1876.6 1029.9
7.8344 0.17239 0.76762 -0.44596 1819.3 1160.8
2.5992 0.40591 -3.0764 0.29862 1484 842.05
4.9308 0.49886 -3.1876 -0.36953 1660.4 831.67
3.7166 0.22237 -2.8673 -0.20915 1675.4 907.9
1.6209 0.75905 -5.7528 -0.3879 1298.8 766.07
8.0344 0.32166 -4.3466 -0.18401 1445.6 829
12.747 0.17577 -1.6211 -0.13907 1873.2 1003.3
7.9619 0.11776 1.3285 -0.2791 2235.3 1207.8
10.245 0.20592 -0.73539 0.13198 1958.7 1074.1
9.5463 0.14984 1.0859 0.21669 2141.6 1266.8
2.0321 0.19076 -1.0301 0.062123 1959.2 903.33
3.7085 0.20606 -0.78365 -0.0068252 1971.2 1031.8
9.0953 0.13363 1.3312 0.28661 2169.8 1204.4
4.8383 0.50075 -1.1439 -0.83189 2037.6 1011.9
4.2418 0.11339 0.50979 0.73851 2077.5 1156.9
9.5167 0.35803 -3.3205 0.1025 1538 815.97
2.8719 0.48131 -3.2837 0.62253 1588.7 895.14
7.8006 0.16303 -0.43919 -0.16748 2016.3 963.05
8.3014 0.15912 -0.54291 0.020239 1990 953.26
2.4825 0.35149 -0.8488 0.044494 1929 1016.6
7.2809 0.24016 -1.6243 -0.34952 1902 866.46
10.593 0.2121 -1.5198 0.21906 1829.7 1011.7
5.111 0.43003 -1.6915 -0.9014 1989.5 919.17
2.1055 0.32335 -2.9112 0.26571 1632.2 870.48
2.6143 0.35474 -2.0998 -0.29956 1768.5 875.85
7.8133 0.33999 -2.3795 -0.27099 1785 920
3.6766 0.4052 -3.9758 -0.26358 1493 799.39
3.7425 0.46658 -3.5495 0.050695 1478.7 815.92
10.825 0.22376 -0.59979 -0.62672 2036.2 917.38
2.8084 0.27699 -2.1679 0.079547 1747.6 851.13
4.2407 0.33452 -1.9345 -0.52274 1597.9 880.65
4.3062 0.35286 10.034 -21.158 1827.1 941.35
8.3767 0.25079 -2.0929 0.054537 1822.7 918.33
6.9067 0.24479 0.11113 0.017326 1575.3 1095.5
1.0773 0.12151 -2.0224 -1.0365 2012.3 864.1
7.7653 0.33219 -1.2438 -0.67993 1676.3 978.03
3.2186 0.332 -2.0975 -0.027765 1775.2 919.87
11.394 0.24127 -1.159 -1.1947 1567.4 898.81
3.6773 0.094218 1.7185 -0.43372 2265.6 1045.6
8.1725 0.4003 -0.68214 -0.38534 2051.4 993.47
8.2965 0.22668 -0.73798 0.032613 1963 943.93
11.012 0.18497 0.4668 -0.22078 2128.6 1121.7
5.1483 0.3672 -2.2064 -0.13846 1808.2 842.11
8.0141 0.26844 -0.91142 -0.084205 1976.6 1002.4
4.6367 0.28985 -2.7771 -0.33496 1701 883.95
8.365 0.12093 1.0443 0.37761 2163.1 1204
5.6842 0.33518 -3.8971 0.087704 1500.4 868.26
8.5055 0.33826 -1.3378 -0.42457 1936.3 888.93
1.116 0.22956 -2.2237 -0.25065 1728.1 905.92
2.1847 0.21775 -1.6259 -0.12911 1894.7 852.52
7.8948 0.29462 -4.5289 0.024906 1407.4 842.76
13.899 0.21636 -1.6372 -0.058982 1861.6 997.7
2.4358 0.29559 -0.25859 0.17474 2017.4 1071.4
11.83 0.20643 -0.88342 0.057579 1944.6 1049.1
6.1364 0.25242 -1.8117 -0.21832 1848.2 945.7
3.155 0.26809 -2.6374 -0.064331 1743.9 822.06
4.3349 0.57379 -3.2006 -0.49285 1683.7 846.02
9.2549 0.16535 0.17018 0.043183 1720.6 994.69
7.9963 0.22035 -0.39387 0.11321 1994.6 1090.1
8.8794 0.13535 0.59097 -0.76258 2173.6 975.95
13.056 0.28923 -2.4515 0.10554 1724.8 946
4.4041 0.40954 -2.469 0.030915 1720.8 825.3
7.6404 0.32184 -1.8833 -0.46208 1886.4 941.26
9.2445 0.19944 -0.35848 0.14476 2013.7 1080.2
14.421 0.2689 -0.61227 -0.14235 1976.4 1084.5
